Candidate,State,District,Office Type,Race,Race Type,Race Primary Election Date,Primary Status,Primary Runoff Status,General Status,Partisan Lean,Primary %,Won Primary,Veteran?,LGBTQ?,Elected Official?,Self-Funder?,STEM?,Obama Alum?,Party Support?,Emily Endorsed?,Guns Sense Candidate?,Biden Endorsed?,Warren Endorsed? ,Sanders Endorsed?,Our Revolution Endorsed?,Justice Dems Endorsed?,PCCC Endorsed?,Indivisible Endorsed?,WFP Endorsed?,VoteVets Endorsed?,No Labels Support?
Robert Kennedy Jr.,AL,U.S. House Alabama District 1,Representative,Nonwhite,Regular,6/5/2018,Advanced,None,On the Ballot,-30.68,80.769997,Yes,Yes,No,No,No,No,No,,,,,,,,,,,,,
Tabitha Isner,AL,U.S. House Alabama District 2,Representative,White,Regular,6/5/2018,Advanced,None,On the Ballot,-33.080002,60.439999,Yes,No,No,No,No,No,No,,,,,,,,,,,,,
Mallory Hagan,AL,U.S. House Alabama District 3,Representative,White,Regular,6/5/2018,Advanced,None,On the Ballot,-33.66,65.739998,Yes,No,No,No,No,No,No,,,Yes,,,,,,,,,,
Lee Auman,AL,U.S. House Alabama District 4,Representative,White,Regular,6/5/2018,Advanced,None,On the Ballot,-62.48,54.130001,Yes,No,No,No,No,No,No,,,Yes,,,,,,,,,,
Peter Joffrion,AL,U.S. House Alabama District 5,Representative,White,Regular,6/5/2018,Advanced,None,On the Ballot,-34.830002,100,Yes,No,No,No,No,No,No,,,,,,,,,,Yes,,,
Danner Kline,AL,U.S. House Alabama District 6,Representative,White,Regular,6/5/2018,Advanced,None,On the Ballot,-48.459999,100,Yes,No,No,No,No,No,No,,,Yes,,,,,,,,,,
Chintan Desai,AR,U.S. House Arkansas District 1,Representative,Nonwhite,Regular,5/22/2018,Advanced,None,On the Ballot,-34.810001,100,Yes,No,No,No,No,No,No,,,Yes,,,,,,,Yes,,,
Clarke Tucker,AR,U.S. House Arkansas District 2,Representative,White,Regular,5/22/2018,Advanced,None,On the Ballot,-13.51,57.82,Yes,No,No,Yes,No,No,No,Yes,,Yes,,,,,,,,,,
Joshua Mahony,AR,U.S. House Arkansas District 3,Representative,White,Regular,5/22/2018,Advanced,None,On the Ballot,-34.560001,100,Yes,No,No,No,No,No,No,,,,,,,,,,Yes,,,
Hayden Shamel,AR,U.S. House Arkansas District 4,Representative,White,Regular,5/22/2018,Advanced,None,On the Ballot,-33.68,100,Yes,No,No,No,No,No,No,,,,,,,,,,,,,
Hiral Tipirneni,AZ,U.S. House Arizona District 8,Representative,Nonwhite,Special,2/27/2018,Advanced,None,On the Ballot,-24.559999,60.220001,Yes,No,No,No,No,Yes,No,,,,,,,No,No,,,,,
Audrey Denney,CA,U.S. House California District 1,Representative,White,Regular,6/5/2018,Advanced,None,On the Ballot,-21.379999,43.650002,Yes,No,No,No,No,No,No,,,,,,,Yes,Yes,,No,,,
